epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,517.07,2.11081,1.06366,1.28122,0.9337,0.43404,0.44432,0.16106,2.16413,1.07275,1.40145,0.000990365,0.000990365,0.000990365
43,529.552,2.11239,1.08001,1.28158,0.93183,0.4243,0.4538,0.17236,2.1504,1.10647,1.3961,0.000973861,0.000973861,0.000973861
44,542.519,2.09939,1.05623,1.27787,0.92622,0.42971,0.44295,0.16266,2.16141,1.09791,1.40033,0.000957358,0.000957358,0.000957358
45,554.561,2.09592,1.07996,1.28611,0.93613,0.43215,0.45052,0.16226,2.14322,1.11654,1.39056,0.000940855,0.000940855,0.000940855
46,566.961,2.10224,1.07837,1.29395,0.92531,0.42536,0.44572,0.1654,2.1076,1.13148,1.39089,0.000924352,0.000924352,0.000924352
47,579.489,2.09169,1.0754,1.26735,0.93991,0.43213,0.4649,0.16592,2.14411,1.0971,1.41085,0.000907848,0.000907848,0.000907848
48,591.784,2.09294,1.04824,1.2954,0.93595,0.42815,0.46297,0.16438,2.15003,1.11194,1.39258,0.000891345,0.000891345,0.000891345
49,602.612,2.09379,1.07873,1.28317,0.93812,0.43716,0.48279,0.17464,2.14744,1.07285,1.39195,0.000874842,0.000874842,0.000874842
50,614.528,2.09517,1.04974,1.26433,0.93678,0.4337,0.51612,0.1812,2.15803,1.09426,1.39265,0.000858338,0.000858338,0.000858338
51,627.021,2.09704,1.06982,1.28329,0.93567,0.43327,0.51689,0.18124,2.14823,1.08193,1.39566,0.000841835,0.000841835,0.000841835
52,639.195,2.0785,1.05671,1.27029,0.93382,0.43506,0.48296,0.16752,2.20022,1.0876,1.40116,0.000825332,0.000825332,0.000825332
53,651.524,2.11037,1.06257,1.28982,0.92571,0.42651,0.51458,0.16694,2.23268,1.12159,1.43237,0.000808828,0.000808828,0.000808828
54,663.817,2.084,1.06007,1.28594,0.94165,0.43838,0.5354,0.18676,2.17085,1.0633,1.39879,0.000792325,0.000792325,0.000792325
55,675.781,2.0865,1.03381,1.27866,0.92512,0.42447,0.55128,0.19617,2.17067,1.10272,1.41605,0.000775822,0.000775822,0.000775822
56,686.943,2.08872,1.04628,1.2574,0.93762,0.43659,0.59211,0.20756,2.15732,1.05944,1.3998,0.000759318,0.000759318,0.000759318
57,699.303,2.08288,1.0465,1.2834,0.9334,0.43337,0.62692,0.21703,2.16545,1.05534,1.41534,0.000742815,0.000742815,0.000742815
58,711.76,2.0865,1.03338,1.27165,0.93519,0.42256,0.60371,0.19594,2.19261,1.12697,1.41606,0.000726312,0.000726312,0.000726312
